index,и,ы,е,э,ä,а,у,у_1,о,ъ,ь,ṷ,ў,п,п’,б,б’,ф,ф’,в,в’,м,м’,т,т’,д,д’,с,с’,з,з’,н,н’,л,л’,ц,дз,ш,ш’,ж,ж’,ч’,дж’,р,р’,j,к,к’,г,г’,х,х’,ɣ,ŋ
в’,0.96,1.0,0.96,1.0,0.96,1.0,1.0,0.96,1.0,1.0,0.96,0.5833333333333333,0.5833333333333333,0.5384615384615384,0.46153846153846156,0.46153846153846156,0.3846153846153846,0.36363636363636365,0.2727272727272727,0.11111111111111116,0.0,0.7142857142857143,0.6428571428571428,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.4545454545454546,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.7857142857142857,0.7142857142857143,0.7692307692307692,0.6923076923076923,0.6153846153846154,0.5384615384615384,0.5454545454545454,0.4545454545454546,0.4545454545454546,0.36363636363636365,0.6153846153846154,0.5384615384615384,0.7857142857142857,0.7142857142857143,0.5,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.4545454545454546,0.36363636363636365,0.36363636363636365,0.7857142857142857
м,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.6363636363636364,0.4545454545454546,0.33333333333333337,0.41666666666666663,0.33333333333333337,0.41666666666666663,0.5384615384615384,0.6153846153846154,0.6428571428571428,0.7142857142857143,0.0,0.09999999999999998,0.41666666666666663,0.5,0.41666666666666663,0.5,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.6923076923076923,0.09999999999999998,0.19999999999999996,0.6666666666666667,0.75,0.5,0.5,0.6923076923076923,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.6666666666666667,0.6666666666666667,0.4,0.5,0.5454545454545454,0.41666666666666663,0.5,0.41666666666666663,0.5,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.09999999999999998
м’,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.5454545454545454,0.5454545454545454,0.41666666666666663,0.33333333333333337,0.41666666666666663,0.33333333333333337,0.6153846153846154,0.5384615384615384,0.7142857142857143,0.6428571428571428,0.09999999999999998,0.0,0.5,0.41666666666666663,0.5,0.41666666666666663,0.6923076923076923,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.19999999999999996,0.09999999999999998,0.75,0.6666666666666667,0.5833333333333333,0.5833333333333333,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.6923076923076923,0.5833333333333333,0.5833333333333333,0.5,0.4,0.4545454545454546,0.5,0.41666666666666663,0.5,0.41666666666666663,0.6923076923076923,0.6153846153846154,0.6923076923076923,0.19999999999999996
т,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9615384615384616,0.9615384615384616,1.0,0.9615384615384616,0.9615384615384616,1.0,0.7692307692307692,0.6153846153846154,0.09090909090909094,0.18181818181818177,0.18181818181818177,0.2727272727272727,0.33333333333333337,0.41666666666666663,0.5384615384615384,0.6153846153846154,0.41666666666666663,0.5,0.0,0.09090909090909094,0.09090909090909094,0.18181818181818177,0.25,0.33333333333333337,0.33333333333333337,0.41666666666666663,0.33333333333333337,0.41666666666666663,0.6428571428571428,0.7142857142857143,0.09090909090909094,0.18181818181818177,0.33333333333333337,0.41666666666666663,0.41666666666666663,0.5,0.2727272727272727,0.36363636363636365,0.41666666666666663,0.5,0.6923076923076923,0.18181818181818177,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.41666666666666663,0.5,0.5,0.5
т’,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,1.0,0.9615384615384616,1.0,1.0,0.9615384615384616,0.6923076923076923,0.6923076923076923,0.18181818181818177,0.09090909090909094,0.2727272727272727,0.18181818181818177,0.41666666666666663,0.33333333333333337,0.6153846153846154,0.5384615384615384,0.5,0.41666666666666663,0.09090909090909094,0.0,0.18181818181818177,0.09090909090909094,0.33333333333333337,0.25,0.41666666666666663,0.33333333333333337,0.41666666666666663,0.33333333333333337,0.7142857142857143,0.6428571428571428,0.18181818181818177,0.2727272727272727,0.41666666666666663,0.33333333333333337,0.5,0.41666666666666663,0.18181818181818177,0.2727272727272727,0.5,0.41666666666666663,0.6153846153846154,0.2727272727272727,0.18181818181818177,0.36363636363636365,0.2727272727272727,0.5,0.41666666666666663,0.5833333333333333,0.5833333333333333
д,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9615384615384616,0.9615384615384616,1.0,0.9615384615384616,0.9615384615384616,1.0,0.7692307692307692,0.6153846153846154,0.18181818181818177,0.2727272727272727,0.09090909090909094,0.18181818181818177,0.41666666666666663,0.5,0.46153846153846156,0.5384615384615384,0.41666666666666663,0.5,0.09090909090909094,0.18181818181818177,0.0,0.09090909090909094,0.33333333333333337,0.41666666666666663,0.25,0.33333333333333337,0.33333333333333337,0.41666666666666663,0.6428571428571428,0.7142857142857143,0.18181818181818177,0.09090909090909094,0.41666666666666663,0.5,0.33333333333333337,0.41666666666666663,0.36363636363636365,0.2727272727272727,0.41666666666666663,0.5,0.6923076923076923,0.2727272727272727,0.36363636363636365,0.18181818181818177,0.2727272727272727,0.5,0.5833333333333333,0.41666666666666663,0.5
д’,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,1.0,0.9615384615384616,1.0,1.0,0.9615384615384616,0.6923076923076923,0.6923076923076923,0.2727272727272727,0.18181818181818177,0.18181818181818177,0.09090909090909094,0.5,0.41666666666666663,0.5384615384615384,0.46153846153846156,0.5,0.41666666666666663,0.18181818181818177,0.09090909090909094,0.09090909090909094,0.0,0.41666666666666663,0.33333333333333337,0.33333333333333337,0.25,0.41666666666666663,0.33333333333333337,0.7142857142857143,0.6428571428571428,0.2727272727272727,0.18181818181818177,0.5,0.41666666666666663,0.41666666666666663,0.33333333333333337,0.2727272727272727,0.18181818181818177,0.5,0.41666666666666663,0.6153846153846154,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.18181818181818177,0.5833333333333333,0.5,0.5,0.5833333333333333
с,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.6363636363636364,0.4545454545454546,0.33333333333333337,0.41666666666666663,0.41666666666666663,0.5,0.09999999999999998,0.19999999999999996,0.36363636363636365,0.4545454545454546,0.6153846153846154,0.6923076923076923,0.25,0.33333333333333337,0.33333333333333337,0.41666666666666663,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.5384615384615384,0.6153846153846154,0.5833333333333333,0.6666666666666667,0.25,0.33333333333333337,0.09999999999999998,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.41666666666666663,0.5,0.6153846153846154,0.6923076923076923,0.5454545454545454,0.41666666666666663,0.5,0.5,0.5833333333333333,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.6923076923076923
с’,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,0.9583333333333334,1.0,1.0,0.9583333333333334,0.5454545454545454,0.5454545454545454,0.41666666666666663,0.33333333333333337,0.5,0.41666666666666663,0.19999999999999996,0.09999999999999998,0.4545454545454546,0.36363636363636365,0.6923076923076923,0.6153846153846154,0.33333333333333337,0.25,0.41666666666666663,0.33333333333333337,0.09999999999999998,0.0,0.19999999999999996,0.09999999999999998,0.6153846153846154,0.5384615384615384,0.6666666666666667,0.5833333333333333,0.33333333333333337,0.41666666666666663,0.19999999999999996,0.09999999999999998,0.30000000000000004,0.19999999999999996,0.33333333333333337,0.41666666666666663,0.6923076923076923,0.6153846153846154,0.4545454545454546,0.5,0.41666666666666663,0.5833333333333333,0.5,0.30000000000000004,0.19999999999999996,0.4,0.7692307692307692
з,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,1.0,0.6363636363636364,0.4545454545454546,0.41666666666666663,0.5,0.33333333333333337,0.41666666666666663,0.19999999999999996,0.30000000000000004,0.2727272727272727,0.36363636363636365,0.6153846153846154,0.6923076923076923,0.33333333333333337,0.41666666666666663,0.25,0.33333333333333337,0.09999999999999998,0.19999999999999996,0.0,0.09999999999999998,0.5384615384615384,0.6153846153846154,0.5833333333333333,0.6666666666666667,0.33333333333333337,0.25,0.19999999999999996,0.30000000000000004,0.09999999999999998,0.19999999999999996,0.5,0.41666666666666663,0.6153846153846154,0.6923076923076923,0.5454545454545454,0.5,0.5833333333333333,0.41666666666666663,0.5,0.30000000000000004,0.4,0.19999999999999996,0.6923076923076923
з’,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,0.9583333333333334,1.0,1.0,0.9583333333333334,0.5454545454545454,0.5454545454545454,0.5,0.41666666666666663,0.41666666666666663,0.33333333333333337,0.30000000000000004,0.19999999999999996,0.36363636363636365,0.2727272727272727,0.6923076923076923,0.6153846153846154,0.41666666666666663,0.33333333333333337,0.33333333333333337,0.25,0.19999999999999996,0.09999999999999998,0.09999999999999998,0.0,0.6153846153846154,0.5384615384615384,0.6666666666666667,0.5833333333333333,0.41666666666666663,0.33333333333333337,0.30000000000000004,0.19999999999999996,0.19999999999999996,0.09999999999999998,0.41666666666666663,0.33333333333333337,0.6923076923076923,0.6153846153846154,0.4545454545454546,0.5833333333333333,0.5,0.5,0.41666666666666663,0.4,0.30000000000000004,0.30000000000000004,0.7692307692307692
н,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9166666666666666,0.9583333333333334,0.7272727272727273,0.5454545454545454,0.41666666666666663,0.5,0.41666666666666663,0.5,0.6153846153846154,0.6923076923076923,0.7142857142857143,0.7857142857142857,0.09999999999999998,0.19999999999999996,0.33333333333333337,0.41666666666666663,0.33333333333333337,0.41666666666666663,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.6153846153846154,0.0,0.09999999999999998,0.5833333333333333,0.6666666666666667,0.41666666666666663,0.41666666666666663,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.6923076923076923,0.5833333333333333,0.5833333333333333,0.30000000000000004,0.4,0.6363636363636364,0.5,0.5833333333333333,0.5,0.5833333333333333,0.6923076923076923,0.7692307692307692,0.6923076923076923,0.19999999999999996
н’,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.6363636363636364,0.6363636363636364,0.5,0.41666666666666663,0.5,0.41666666666666663,0.6923076923076923,0.6153846153846154,0.7857142857142857,0.7142857142857143,0.19999999999999996,0.09999999999999998,0.41666666666666663,0.33333333333333337,0.41666666666666663,0.33333333333333337,0.6153846153846154,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.09999999999999998,0.0,0.6666666666666667,0.5833333333333333,0.5,0.5,0.6923076923076923,0.6153846153846154,0.6923076923076923,0.6153846153846154,0.5,0.5,0.4,0.30000000000000004,0.5454545454545454,0.5833333333333333,0.5,0.5833333333333333,0.5,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.30000000000000004
